id_municipio,sigla_uf,ano,quantidade_matricula
2305266,CE,2017,1963.0
2309805,CE,2017,1423.0
2304285,CE,2017,8976.0
2313351,CE,2017,2775.0
2306900,CE,2017,4527.0
2301307,CE,2017,3696.0
5220405,GO,2017,1929.0
5216007,GO,2017,188.0
5206602,GO,2017,0.0
5219753,GO,2017,8345.0
5222054,GO,2017,930.0
5214861,GO,2017,227.0
5219001,GO,2017,416.0
5208152,GO,2017,539.0
5212006,GO,2017,176.0
5213400,GO,2017,63.0
5215306,GO,2017,1239.0
5221700,GO,2017,758.0
5206503,GO,2017,140.0
2923050,BA,2017,1676.0
2905701,BA,2017,27150.0
2907103,BA,2017,5037.0
2926707,BA,2017,1219.0
2901957,BA,2017,1189.0
2921104,BA,2017,3382.0
2929909,BA,2017,5878.0
2911105,BA,2017,3543.0
2933158,BA,2017,2029.0
2924306,BA,2017,3069.0
2919959,BA,2017,1051.0
2912301,BA,2017,2020.0
2919702,BA,2017,2556.0
2709004,AL,2017,823.0
2703700,AL,2017,963.0
2701704,AL,2017,2913.0
2702553,AL,2017,2217.0
2301901,CE,2017,7200.0
2303303,CE,2017,2030.0
2308401,CE,2017,4826.0
2307601,CE,2017,5475.0
2304350,CE,2017,2695.0
2311801,CE,2017,8880.0
2306306,CE,2017,6622.0
5200100,GO,2017,933.0
5203575,GO,2017,271.0
5213103,GO,2017,4632.0
5221908,GO,2017,234.0
5209457,GO,2017,116.0
5208509,GO,2017,184.0
5210604,GO,2017,265.0
5200829,GO,2017,321.0
5207105,GO,2017,43.0
5201603,GO,2017,159.0
5208806,GO,2017,4486.0
5204508,GO,2017,6505.0
5210208,GO,2017,759.0
2925709,BA,2017,1832.0
2915353,BA,2017,2223.0
2912608,BA,2017,582.0
2910503,BA,2017,5196.0
2928059,BA,2017,2062.0
2929354,BA,2017,972.0
2922755,BA,2017,909.0
2910057,BA,2017,8966.0
2902807,BA,2017,3532.0
2915601,BA,2017,8341.0
2922250,BA,2017,2249.0
2914307,BA,2017,1775.0
2926657,BA,2017,1721.0
2914208,BA,2017,938.0
2707602,AL,2017,1917.0
2708501,AL,2017,5333.0
2706703,AL,2017,6054.0
2707503,AL,2017,2531.0
1304260,AM,2017,2372.0
1301506,AM,2017,2398.0
1200203,AC,2017,6503.0
3200300,ES,2017,1309.0
3204252,ES,2017,625.0
3205200,ES,2017,35516.0
2312106,CE,2017,2688.0
2300309,CE,2017,5882.0
5205109,GO,2017,4373.0
5211909,GO,2017,5929.0
5212501,GO,2017,15701.0
5217302,GO,2017,1733.0
5204706,GO,2017,821.0
5203500,GO,2017,2411.0
2925006,BA,2017,3705.0
2901502,BA,2017,1217.0
2916203,BA,2017,1357.0
2908705,BA,2017,2525.0
2917409,BA,2017,1675.0
2903300,BA,2017,990.0
2923035,BA,2017,1500.0
2913705,BA,2017,5001.0
2933208,BA,2017,4512.0
2928802,BA,2017,6323.0
2926103,BA,2017,1499.0
2919926,BA,2017,2125.0
2909703,BA,2017,2136.0
2701803,AL,2017,1928.0
2703205,AL,2017,3672.0
2705200,AL,2017,3018.0
1200385,AC,2017,1386.0
3204708,ES,2017,2731.0
3201506,ES,2017,9602.0
3201902,ES,2017,3738.0
2310506,CE,2017,5016.0
2303659,CE,2017,1288.0
2304806,CE,2017,841.0
2304236,CE,2017,2597.0
5207352,GO,2017,534.0
5200506,GO,2017,0.0
5219803,GO,2017,966.0
5220058,GO,2017,126.0
5214903,GO,2017,297.0
2930709,BA,2017,12165.0
2906204,BA,2017,3497.0
2918308,BA,2017,2271.0
2922730,BA,2017,942.0
2901908,BA,2017,2520.0
2913457,BA,2017,2580.0
2901155,BA,2017,2657.0
2907558,BA,2017,1116.0
2915304,BA,2017,1071.0
2915205,BA,2017,2498.0
2707404,AL,2017,1467.0
2703403,AL,2017,1107.0
1300102,AM,2017,1592.0
1300904,AM,2017,1681.0
1300631,AM,2017,4544.0
1200302,AC,2017,3302.0
1200138,AC,2017,1194.0
3201001,ES,2017,1300.0
3205150,ES,2017,1113.0
2304269,CE,2017,1137.0
2301000,CE,2017,10068.0
2303931,CE,2017,1863.0
2305001,CE,2017,6098.0
2309904,CE,2017,869.0
2304459,CE,2017,2164.0
2313252,CE,2017,1169.0
5218805,GO,2017,17355.0
5210802,GO,2017,353.0
5201306,GO,2017,874.0
5221080,GO,2017,306.0
2917904,BA,2017,1957.0
2920403,BA,2017,2327.0
2926905,BA,2017,1272.0
2916401,BA,2017,8180.0
2926004,BA,2017,6022.0
2925303,BA,2017,21812.0
2704005,AL,2017,3829.0
2706505,AL,2017,2682.0
2701605,AL,2017,3174.0
2706448,AL,2017,2287.0
1301605,AM,2017,4655.0
1303536,AM,2017,5949.0
1200435,AC,2017,1833.0
3200359,ES,2017,725.0
3203163,ES,2017,799.0
3202603,ES,2017,1091.0
2312304,CE,2017,5924.0
2311405,CE,2017,9988.0
5213053,GO,2017,223.0
5218706,GO,2017,359.0
5215504,GO,2017,360.0
5219712,GO,2017,352.0
5217609,GO,2017,12217.0
2901601,BA,2017,1469.0
2911907,BA,2017,4081.0
2925931,BA,2017,1257.0
2900355,BA,2017,2115.0
2928000,BA,2017,4917.0
1600154,AP,2017,1202.0
2704906,AL,2017,573.0
2700607,AL,2017,1452.0
2705408,AL,2017,1386.0
2708808,AL,2017,5972.0
2702207,AL,2017,1012.0
1303403,AM,2017,11998.0
2309607,CE,2017,8299.0
2309508,CE,2017,2645.0
2306702,CE,2017,2119.0
5215405,GO,2017,511.0
5210000,GO,2017,2732.0
5218904,GO,2017,1324.0
5201207,GO,2017,59.0
2917201,BA,2017,3020.0
2905404,BA,2017,3107.0
2924678,BA,2017,1349.0
2924900,BA,2017,1213.0
2928901,BA,2017,5101.0
