id_municipio,sigla_uf,ano,municipio_nome,populacao,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,flag_populacao_missing,flag_pib_missing,flag_gastos_missing,flag_matriculas_missing,flag_ideb_missing,flag_abandono_missing
1200328,AC,2019,Jordão,8317,82098000,13878718,2063,4.0,4.1,1.8,3.8,9871.11,6727.44,0,0,0,0,0,0
1200336,AC,2017,Mâncio Lima,17910,194421000,15889291,2281,5.3,,1.3,2.2,10855.44,6965.93,0,0,0,0,1,0
1200336,AC,2019,Mâncio Lima,18977,205214000,18029252,2087,5.3,,1.2,,10813.83,8638.84,0,0,0,0,1,1
1200344,AC,2017,Manoel Urbano,8886,135401000,7407545,1397,5.0,,0.8,35.1,15237.56,5302.47,0,0,0,0,1,0
1200344,AC,2019,Manoel Urbano,9459,131637000,9234822,1536,5.3,,0.2,0.0,13916.59,6012.25,0,0,0,0,1,0
1200351,AC,2017,Marechal Thaumaturgo,17897,195344000,25565213,4771,4.2,4.0,2.4,5.9,10914.9,5358.46,0,0,0,0,0,0
1200351,AC,2019,Marechal Thaumaturgo,18867,194430000,28021944,4406,4.5,3.9,2.2,5.3,10305.29,6359.95,0,0,0,0,0,0
1200385,AC,2017,Plácido de Castro,18510,241231000,10710076,1386,4.9,4.7,1.3,3.2,13032.47,7727.33,0,0,0,0,0,0
1200385,AC,2019,Plácido de Castro,19761,276129000,12781324,1340,4.8,4.3,2.3,7.4,13973.43,9538.3,0,0,0,0,0,0
1200393,AC,2017,Porto Walter,11353,112711000,13084344,2173,3.7,,2.9,8.2,9927.86,6021.33,0,0,0,0,1,0
1200393,AC,2019,Porto Walter,11982,118375000,15991435,2451,4.2,,1.2,6.0,9879.4,6524.45,0,0,0,0,1,0
1200401,AC,2017,Rio Branco,383443,8153153000,137327259,9199,6.5,,0.3,,21263.01,14928.5,0,0,0,0,1,1
1200401,AC,2019,Rio Branco,407319,9130749000,172048627,8837,6.7,,0.2,,22416.7,19469.12,0,0,0,0,1,1
1200427,AC,2017,Rodrigues Alves,17945,185008000,17429189,1923,5.8,,1.7,,10309.72,9063.54,0,0,0,0,1,1
1200427,AC,2019,Rodrigues Alves,18930,190863000,19749685,1907,5.5,,1.7,1.0,10082.57,10356.42,0,0,0,0,1,0
1200435,AC,2017,Santa Rosa do Purus,6230,71271000,9050789,1833,3.4,2.9,8.0,23.7,11439.97,4937.69,0,0,0,0,0,0
1200435,AC,2019,Santa Rosa do Purus,6540,79725000,10861801,2005,3.7,4.0,4.3,7.7,12190.37,5417.36,0,0,0,0,0,0
1200450,AC,2017,Senador Guiomard,21552,359782000,16514132,1436,5.8,4.8,1.1,1.6,16693.67,11500.09,0,0,0,0,0,0
1200450,AC,2019,Senador Guiomard,23024,360656000,15189558,1389,5.8,,1.8,4.3,15664.35,10935.61,0,0,0,0,1,0
