id_municipio,sigla_uf,ano,ideb_iniciais,ideb_finais
1300839,AM,2019,,3.8
3550209,SP,2019,,
4311239,RS,2019,,
2505352,PB,2019,5.0,
4303202,RS,2019,6.8,
3108800,MG,2019,6.0,
3153202,MG,2019,5.8,
5207253,GO,2019,5.9,
5204250,GO,2019,6.5,
5003108,MS,2019,5.0,
4212304,SC,2019,6.1,
3103801,MG,2019,7.4,
5000906,MS,2019,5.1,
4304002,RS,2019,5.0,
3120508,MG,2019,6.5,
3112703,MG,2019,4.5,
5204003,GO,2019,5.7,
1300060,AM,2019,4.2,
3146552,MG,2019,6.5,
1100940,RO,2019,4.2,
2407609,RN,2019,,2.8
3106507,MG,2019,,
3115706,MG,2019,,
4300703,RS,2019,,
4201802,SC,2019,,
