id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1504059,PA,2017,29260,Mãe do Rio,293012000,33534170,6450,4.7,3.6,1.0,3.4,10014.08,5199.1
1504059,PA,2019,30077,Mãe do Rio,291476000,34927345,5914,4.7,3.8,0.9,3.3,9690.99,5905.88
1504109,PA,2017,8316,Magalhães Barata,75316000,6598402,1417,3.9,2.6,1.2,2.8,9056.76,4656.6
1504109,PA,2019,8548,Magalhães Barata,74014000,6914198,1303,4.1,4.0,1.3,3.5,8658.63,5306.37
1504208,PA,2017,271594,Marabá,8599354000,209363308,41892,4.6,3.8,1.5,5.3,31662.53,4997.69
1504208,PA,2019,279349,Marabá,11406386000,264487874,40513,5.1,4.3,0.8,2.8,40832.03,6528.47
1504307,PA,2017,28679,Maracanã,219106000,30463896,5882,4.4,3.5,3.1,7.2,7639.95,5179.17
1504307,PA,2019,29473,Maracanã,228263000,33719254,5537,4.5,3.8,1.7,5.6,7744.82,6089.81
1504406,PA,2017,27569,Marapanim,221402000,26273964,5056,3.8,3.2,2.5,6.6,8030.83,5196.59
1504406,PA,2019,28336,Marapanim,220111000,27418549,4446,4.2,3.7,1.1,4.8,7767.89,6167.02
1504422,PA,2017,127858,Marituba,1788121000,105883459,17112,4.8,3.7,1.6,4.6,13985.21,6187.67
1504422,PA,2019,131521,Marituba,1941535000,105111804,17245,4.9,3.9,1.3,2.9,14762.17,6095.2
1504455,PA,2017,30726,Medicilândia,580793000,23349987,5002,4.3,3.5,3.1,8.2,18902.33,4668.13
1504455,PA,2019,31597,Medicilândia,654621000,27996065,5063,4.3,3.6,1.5,6.2,20717.82,5529.54
1504505,PA,2017,26897,Melgaço,169796000,35115055,7427,3.3,3.6,2.6,6.4,6312.82,4728.03
1504505,PA,2019,27654,Melgaço,180022000,43472417,7736,3.3,3.5,2.4,6.8,6509.8,5619.5
1504604,PA,2017,30277,Mocajuba,306536000,33690902,6582,3.9,3.3,1.8,6.4,10124.38,5118.64
1504604,PA,2019,31136,Mocajuba,378747000,41538033,6256,4.1,3.9,1.5,2.6,12164.28,6639.71
